!  transition:                <--             
!
        300166.7406            .8200
        300166.7406   .8100
!
!  transition:     21, 14,  8 <--   21, 13,  8
!
        300166.7406   .8100
        300166.7406            .8200
        300166.7406   .8100
!
!  transition:     21, 14,  7 <--   21, 13,  9
!
        300166.7406   .8100
        300166.7406            .8200
        300166.7406   .8100
!
!  transition:     21, 14,  7 <--   21, 13,  8
!
        300166.7406   .8100
        300166.7406            .8200
        300166.7406   .8100
!
!  transition:     22, 14,  9 <--   22, 13, 10
!
        300171.3995   .8100
        300171.3995            .8200
        300171.3995   .8100
!
!  transition:     22, 14,  8 <--   22, 13, 10
!
        300171.3995   .8100
        300171.3995            .8200
        300171.3995   .8100
!
!  transition:     22, 14,  9 <--   22, 13,  9
!
        300171.3995   .8100
        300171.3995            .8200
        300171.3995   .8100
!
!  transition:     22, 14,  8 <--   22, 13,  9
!
        300171.3995   .8100
        300171.3995            .8200
        300171.3995   .8100
!
!  transition:     23, 14, 10 <--   23, 13, 10
!
        300176.0385   .8100
        300176.0385            .8200
        300176.0385   .8100
!
!  transition:   D 23, 14,    <--   23, 13,   
!
        300176.0385   .8100
        300176.0385            .8200
        300176.0385   .8100
!
!  transition:     23, 14,  9 <--   23, 13, 11
!
        300176.0385   .8100
        300176.0385            .8200
        300176.0385   .8100
!
!  transition:     24, 14, 11 <--   24, 13, 12
!
        300180.6267   .8100
        300180.6267            .8200
        300180.6267   .8100
!
!  transition:     24, 14, 11 <--   24, 13, 11
!
        300180.6267   .8100
        300180.6267            .8200
        300180.6267   .8100
!
!  transition:     24, 14, 10 <--   24, 13, 12
!
        300180.6267   .8100
        300180.6267            .8200
        300180.6267   .8100
!
!  transition:     24, 14, 10 <--   24, 13, 11
!
        300180.6267   .8100
        300180.6267            .8200
        300180.6267   .8100
!
!  transition:     25, 14, 11 <--   25, 13, 13
!
        300185.1324   .8100
        300185.1324            .8300
        300185.1324   .8100
!
!  transition:   D 25, 14,    <--   25, 13,   
!
        300185.1324   .8100
        300185.1324            .8300
        300185.1324   .8100
!
!  transition:     25, 14, 12 <--   25, 13, 12
!
        300185.1324   .8100
        300185.1324            .8300
        300185.1324   .8100
!
!  transition:     26, 14, 13 <--   26, 13, 13
!
        300189.5223   .8100
        300189.5223            .8200
        300189.5223   .8100
!
!  transition:   D 26, 14,    <--   26, 13,   
!
        300189.5223   .8100
        300189.5223            .8200
        300189.5223   .8100
!
!  transition:     26, 14, 12 <--   26, 13, 14
!
        300189.5223   .8100
        300189.5223            .8200
        300189.5223   .8100
!
!  transition:     27, 14, 14 <--   27, 13, 14
!
        300193.7619   .8100
        300193.7619            .8200
        300193.7619   .8100
!
!  transition:     27, 14, 14 <--   27, 13, 15
!
        300193.7619   .8100
        300193.7619            .8200
        300193.7619   .8100
!
!  transition:     27, 14, 13 <--   27, 13, 15
!
        300193.7619   .8100
        300193.7619            .8200
